,,,,,,,,,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019, 5 Year PNA , 5 Year PNA ,5 Year PNA, 20 Year PNA , 20 Year PNA ,20 Year PNA,,,,,
MITCHEL,,,YES,,,Comprehensive Modernization (lead),"1,732",13.88%,264.5,73.9,14.89,869," $244,752,017 "," $141,312 ",35%," $368,381,743 "," $212,692 ",53%,,,,,
MONROE,,,YES,,,Comprehensive Modernization (lead),"1,102",14.70%,153.8,64.9,13.91,670," $216,924,605 "," $196,846 ",49%," $286,746,992 "," $260,206 ",65%,,,,,
PARKSIDE,,,YES,,,Comprehensive Modernization (lead),879,19.86%,167.8,52.2,12.36,541," $152,677,289 "," $173,694 ",43%," $200,221,859 "," $227,784 ",57%,,,,,
POLO GROUNDS TOWERS,,,YES,,,Comprehensive Modernization (lead),"1,614",12.68%,191.8,99.5,14.38,919," $260,509,349 "," $161,406 ",40%," $346,058,023 "," $214,410 ",54%,,,,,
QUEENSBRIDGE NORTH,,,YES,,,Comprehensive Modernization (lead),"1,543",21.58%,107.1,60.1,12.21,766," $305,771,585 "," $198,167 ",50%," $389,905,428 "," $252,693 ",63%,,,,,
RANGEL,,,YES,,,Comprehensive Modernization (lead),984,15.07%,153.6,51.0,13.10,666," $150,516,545 "," $152,964 ",38%," $247,694,245 "," $251,722 ",63%,,,,,
RAVENSWOOD,,,YES,,,Comprehensive Modernization (lead),"2,166",20.75%,115.0,51.4,11.42,"1,261"," $315,743,381 "," $145,773 ",36%," $536,366,782 "," $247,630 ",62%,,,,,
REHAB PROGRAM (DOUGLASS REHABS),,,YES,,,Comprehensive Modernization (lead),112,66.74%,27.9,2.7,4.50,22," $23,487,644 "," $209,711 ",52%," $30,425,874 "," $271,660 ",68%,,,,,
RICHMOND TERRACE,,,YES,,,Comprehensive Modernization (lead),489,12.34%,130.1,87.6,20.62,320," $80,983,910 "," $165,611 ",41%," $134,351,817 "," $274,748 ",69%,,,,,
RIIS,,,YES,,,Comprehensive Modernization (lead),"1,191",20.25%,181.9,46.8,8.97,822," $188,674,006 "," $158,416 ",40%," $300,512,856 "," $252,320 ",63%,,,,,
RIIS II,,,YES,,,Comprehensive Modernization (lead),578,16.98%,189.5,49.7,7.38,412," $92,834,558 "," $160,613 ",40%," $137,742,172 "," $238,308 ",60%,,,,,
SAINT NICHOLAS,,,YES,,,Comprehensive Modernization (lead),"1,526",15.49%,232.1,69.9,13.91,"1,216"," $264,583,735 "," $173,384 ",43%," $352,129,369 "," $230,753 ",58%,,,,,
SEDGWICK,,,YES,,,Comprehensive Modernization (lead),786,18.68%,159.7,37.0,7.10,479," $126,802,361 "," $161,326 ",40%," $175,465,775 "," $223,239 ",56%,,,,,
SEWARD PARK EXTENSION,,,YES,,,Comprehensive Modernization (lead),360,26.39%,207.0,47.3,8.61,245," $60,162,810 "," $167,119 ",42%," $95,559,126 "," $265,442 ",66%,,,,,
SMITH,,,YES,,,Comprehensive Modernization (lead),"1,935",13.35%,218.3,45.7,6.64,"1,295"," $351,414,202 "," $181,609 ",45%," $437,945,139 "," $226,328 ",57%,,,,,
SOUTH BEACH,,,YES,,,Comprehensive Modernization (lead),422,9.61%,108.7,80.9,9.79,269," $86,728,016 "," $205,517 ",51%," $135,574,090 "," $321,266 ",80%,,,,,
STAPLETON,,,YES,,,Comprehensive Modernization (lead),693,10.47%,116.1,116.7,21.88,310," $129,467,957 "," $186,822 ",47%," $199,020,499 "," $287,187 ",72%,,,,,
STRAUS,,,YES,,,Comprehensive Modernization (lead),267,27.11%,140.6,26.3,8.99,162," $37,263,155 "," $139,562 ",35%," $55,422,108 "," $207,573 ",52%,,,,,
SUMNER,,,YES,,,Comprehensive Modernization (lead),"1,099",13.68%,87.3,37.5,10.16,784," $162,669,894 "," $148,016 ",37%," $297,054,708 "," $270,295 ",68%,,,,,
SURFSIDE GARDENS,,,YES,,,Comprehensive Modernization (lead),600,11.39%,205.8,68.3,8.36,479," $92,726,211 "," $154,544 ",39%," $133,530,682 "," $222,551 ",56%,,,,,
TODT HILL,,,YES,,,Comprehensive Modernization (lead),502,13.62%,115.8,77.2,14.23,246," $104,947,670 "," $209,059 ",52%," $144,908,506 "," $288,662 ",72%,,,,,
WALD,,,YES,,,Comprehensive Modernization (lead),"1,861",18.56%,162.7,60.5,7.89,"1,240"," $326,859,375 "," $175,636 ",44%," $438,951,062 "," $235,868 ",59%,,,,,
WEBSTER,,,YES,,,Comprehensive Modernization (lead),606,15.85%,139.5,51.0,18.41,376," $98,306,150 "," $162,221 ",41%," $147,985,677 "," $244,201 ",61%,,,,,
WILSON,,,YES,,,Comprehensive Modernization (lead),398,16.89%,289.1,109.3,14.65,370," $75,135,534 "," $188,783 ",47%," $102,030,852 "," $256,359 ",64%,,,,,
WOODSIDE,,,YES,,,Comprehensive Modernization (lead),"1,357",19.15%,88.4,51.8,9.99,919," $249,400,200 "," $183,788 ",46%," $381,868,862 "," $281,407 ",70%,,,,,
WSUR (SITE A) 120 WEST 94TH STREET,,,YES,,,Comprehensive Modernization (lead),70,29.92%,163.8,39.1,13.04,58," $13,189,738 "," $188,425 ",47%," $19,749,644 "," $282,138 ",71%,,,,,
BORINQUEN PLAZA II,,,,YES,,Comprehensive Modernization B,425,33.21%,165.7,76.6,9.24,0," $111,092,054 "," $261,393 ",65%," $154,059,070 "," $362,492 ",91%,,,,,
EAGLE AVENUE-EAST 163RD STREET,,,,YES,,Comprehensive Modernization B,66,34.94%,261.9,63.5,16.92,0," $15,713,267 "," $238,080 ",60%," $19,024,428 "," $288,249 ",72%,,,,,
HUNTS POINT AVENUE REHAB,,,,YES,,Comprehensive Modernization B,131,60.44%,41.5,0.8,10.00,0," $34,048,209 "," $259,910 ",65%," $51,263,362 "," $391,323 ",98%,,,,,
REHAB PROGRAM (COLLEGE POINT),,,,YES,,Comprehensive Modernization B,13,62.13%,92.3,15.4,0.00,0," $5,252,993 "," $404,076 ",101%," $6,455,717 "," $496,594 ",124%,,,,,
REHAB PROGRAM (TAFT REHABS),,,,YES,,Comprehensive Modernization B,156,84.33%,39.1,2.6,11.69,0," $42,974,992 "," $275,481 ",69%," $55,997,905 "," $358,961 ",90%,,,,,
STUYVESANT GARDENS I,,,,YES,,Comprehensive Modernization B,331,45.74%,221.7,85.1,11.31,0," $79,704,448 "," $240,799 ",60%," $109,914,679 "," $332,069 ",83%,,,,,
UNIVERSITY AVENUE REHAB,,,,YES,,Comprehensive Modernization B,230,56.09%,103.9,3.1,12.72,0," $54,994,826 "," $239,108 ",60%," $86,058,698 "," $374,168 ",94%,,,,,
104-14 TAPSCOTT STREET,2021,,,,,PACT,30,69.83%,360.0,50.0,16.67,0," $7,719,927 "," $257,331 ",64%," $9,912,253 "," $330,408 ",83%,,,,,
1162-1176 WASHINGTON AVENUE,2025,,,,,PACT,66,64.42%,360.0,76.9,18.46,0," $20,432,187 "," $309,579 ",77%," $24,721,765 "," $374,572 ",94%,,,,,
1471 WATSON AVENUE,2021,,,,,PACT,96,33.40%,195.8,69.5,8.42,0," $20,168,103 "," $210,084 ",53%," $24,838,025 "," $258,729 ",65%,,,,,
ALBANY,2025,,YES,,,PACT,829,15.05%,211.3,72.2,11.52,462," $159,082,686 "," $191,897 ",48%," $203,771,030 "," $245,803 ",61%,,,,,
ALBANY II,2025,,YES,,,PACT,400,12.14%,222.1,68.5,11.36,199," $76,273,561 "," $190,684 ",48%," $88,987,235 "," $222,468 ",56%,,,,,
ASTORIA,2024,,YES,,,PACT,"1,104",12.33%,194.2,68.4,13.78,592," $217,716,928 "," $197,207 ",49%," $346,164,075 "," $313,554 ",78%,,,,,
AUDUBON,2020,,,,,PACT,168,32.91%,124.5,63.8,17.58,0," $22,056,587 "," $131,289 ",33%," $41,998,042 "," $249,988 ",62%,,,,,
BAYCHESTER,2018,,,,,PACT,441,18.55%,,,10.39,0," $88,809,838 "," $201,383 ",50%," $125,968,647 "," $285,643 ",71%,,,,,
BETANCES I,2018,,,,,PACT,309,30.01%,,,11.88,0," $58,880,182 "," $190,551 ",48%," $79,659,101 "," $257,796 ",64%,,,,,
BETANCES II 13,2018,,,,,PACT,51,35.76%,,,15.69,0," $8,558,425 "," $167,812 ",42%," $16,612,664 "," $325,739 ",81%,,,,,
BETANCES II 18,2018,,,,,PACT,78,36.87%,,,15.58,0," $19,269,890 "," $247,050 ",62%," $33,994,208 "," $435,823 ",109%,,,,,
BETANCES II 9A,2018,,,,,PACT,46,55.95%,,,6.67,0," $8,843,090 "," $192,241 ",48%," $14,017,842 "," $304,736 ",76%,,,,,
BETANCES III 13,2018,,,,,PACT,22,27.06%,,,4.76,0," $5,847,072 "," $265,776 ",66%," $9,014,966 "," $409,771 ",102%,,,,,
BETANCES III 18,2018,,,,,PACT,19,71.93%,,,26.32,0," $4,445,815 "," $233,990 ",58%," $5,648,487 "," $297,289 ",74%,,,,,
BETANCES III 9A,2018,,,,,PACT,26,60.82%,,,16.00,0," $8,650,778 "," $332,722 ",83%," $13,573,294 "," $522,050 ",131%,,,,,
BETANCES IV,2018,,,,,PACT,282,39.23%,,,16.61,0," $63,124,130 "," $223,844 ",56%," $100,963,970 "," $358,028 ",90%,,,,,
BETANCES V,2018,,,,,PACT,100,67.44%,,,28.28,0," $27,418,931 "," $274,189 ",69%," $36,650,996 "," $366,510 ",92%,,,,,
BETANCES VI,2018,,,,,PACT,155,32.83%,,,15.03,0," $30,606,363 "," $197,460 ",49%," $66,016,930 "," $425,916 ",106%,,,,,
BETHUNE GARDENS,2020,,,,,PACT,210,12.20%,47.3,21.7,0.00,0," $23,245,671 "," $110,694 ",28%," $42,534,413 "," $202,545 ",51%,,,,,
BOSTON ROAD PLAZA,2022,,,,,PACT,235,17.82%,72.9,9.8,0.00,0," $30,943,251 "," $131,673 ",33%," $48,984,811 "," $208,446 ",52%,,,,,
BOULEVARD,2020,,,,,PACT,"1,441",15.08%,105.4,69.4,9.70,0," $261,342,225 "," $181,362 ",45%," $341,799,364 "," $237,196 ",59%,,,,,
BRACETTI PLAZA,2026,,,,,PACT,108,42.36%,271.3,152.8,12.96,0," $15,855,039 "," $146,806 ",37%," $32,869,394 "," $304,346 ",76%,,,,,
BREUKELEN,2021,,YES,,,PACT,"1,595",12.73%,187.2,94.6,11.81,"1,050"," $441,070,944 "," $276,534 ",69%," $541,402,175 "," $339,437 ",85%,,,,,
BUSHWICK II CDA (GROUP E),2019,,,,,PACT,276,28.08%,136.4,78.2,9.12,0," $55,306,372 "," $200,385 ",50%," $74,994,253 "," $271,718 ",68%,,,,,
CAMPOS PLAZA II,2026,YES,,,,PACT,224,31.29%,178.6,112.5,9.46,0," $33,733,084 "," $150,594 ",38%," $57,944,807 "," $258,682 ",65%,,,,,
CLAREMONT PARKWAY-FRANKLIN AVENUE,2026,,,,,PACT,188,26.24%,118.4,130.8,2.69,0," $19,684,938 "," $104,707 ",26%," $61,639,336 "," $327,869 ",82%,,,,,
CLAREMONT REHAB (GROUP 2),2025,,,,,PACT,107,68.86%,171.4,55.2,20.95,0," $24,369,969 "," $227,757 ",57%," $41,945,210 "," $392,011 ",98%,,,,,
CLAREMONT REHAB (GROUP 3),2025,,,,,PACT,115,62.06%,200.0,67.0,22.43,0," $24,719,990 "," $214,956 ",54%," $37,804,831 "," $328,738 ",82%,,,,,
CLAREMONT REHAB (GROUP 4),2025,,YES,,,PACT,150,64.68%,225.0,94.6,20.00,109," $31,397,179 "," $209,315 ",52%," $54,694,206 "," $364,628 ",91%,,,,,
CLAREMONT REHAB (GROUP 5),2025,,,,,PACT,135,53.07%,212.5,126.6,17.19,0," $24,131,324 "," $178,751 ",45%," $40,088,113 "," $296,949 ",74%,,,,,
CLASON POINT GARDENS,2024,,YES,,,PACT,401,20.80%,70.1,55.9,8.48,240," $109,681,689 "," $273,520 ",68%," $143,608,803 "," $358,127 ",90%,,,,,
COLLEGE AVENUE-EAST 165TH STREET,2025,,,,,PACT,95,45.25%,49.5,14.7,0.00,0," $12,170,045 "," $128,106 ",32%," $19,804,337 "," $208,467 ",52%,,,,,
CORSI HOUSES,2026,,,,,PACT,171,63.89%,138.9,31.1,0.00,0," $30,371,381 "," $177,610 ",44%," $48,867,669 "," $285,776 ",71%,,,,,
CROWN HEIGHTS,2025,,,,,PACT,121,61.75%,161.7,48.3,7.50,0," $31,681,939 "," $261,834 ",65%," $43,612,311 "," $360,432 ",90%,,,,,
CYPRESS HILLS,2023,,,,,PACT,"1,444",17.67%,134.2,97.4,12.59,0," $287,194,583 "," $198,888 ",50%," $347,238,772 "," $240,470 ",60%,,,,,
DAVIDSON,2026,,,,,PACT,175,29.89%,113.3,67.6,11.70,0," $24,037,303 "," $137,356 ",34%," $46,135,114 "," $263,629 ",66%,,,,,
EAST 152ND STREET-COURTLANDT AVENUE,2023,,,,,PACT,221,33.72%,124.7,51.1,4.57,0," $26,265,682 "," $118,849 ",30%," $50,139,231 "," $226,874 ",57%,,,,,
EAST NEW YORK CITY LINE,2023,,,,,PACT,66,31.92%,309.1,93.9,16.92,0," $17,088,834 "," $258,922 ",65%," $34,609,582 "," $524,388 ",131%,,,,,
EAST RIVER,2024,,YES,,,PACT,"1,170",21.87%,178.2,49.6,11.93,612," $237,268,371 "," $202,793 ",51%," $292,395,013 "," $249,910 ",62%,,,,,
EASTCHESTER GARDENS,2026,,YES,,,PACT,877,17.73%,205.2,128.3,11.44,554," $160,925,116 "," $183,495 ",46%," $226,646,026 "," $258,433 ",65%,,,,,
EDENWALD,2022,,,,,PACT,"2,039",16.18%,140.8,139.2,14.12,0," $443,929,990 "," $217,719 ",54%," $583,728,299 "," $286,282 ",72%,,,,,
FARRAGUT,2027,,,,,PACT,"1,390",13.92%,201.6,60.7,10.66,0," $263,899,000 "," $189,855 ",47%," $351,525,032 "," $252,896 ",63%,,,,,
FENIMORE-LEFFERTS,2021,,,,,PACT,36,60.34%,425.7,88.6,5.56,0," $11,684,175 "," $324,560 ",81%," $20,254,732 "," $562,631 ",141%,,,,,
FIORENTINO PLAZA,2026,,,,,PACT,160,44.41%,285.4,75.2,22.15,0," $43,569,412 "," $272,309 ",68%," $57,677,990 "," $360,487 ",90%,,,,,
FIRST HOUSES,2026,,YES,,,PACT,126,45.84%,232.5,73.0,12.90,70," $29,304,734 "," $232,577 ",58%," $39,953,607 "," $317,092 ",79%,,,,,
FORT WASHINGTON AVENUE REHAB,2019,,,,,PACT,226,39.04%,138.1,14.2,0.00,0," $30,087,174 "," $133,129 ",33%," $57,975,530 "," $256,529 ",64%,,,,,
FRANKLIN AVENUE I CONVENTIONAL,2018,,,,,PACT,61,38.27%,,,13.56,0," $7,316,734 "," $119,946 ",30%," $23,583,484 "," $386,614 ",97%,,,,,
FRANKLIN AVENUE II CONVENTIONAL,2018,,,,,PACT,45,41.82%,,,15.91,0," $5,275,406 "," $117,231 ",29%," $19,090,565 "," $424,235 ",106%,,,,,
FRANKLIN AVENUE III CONVENTIONAL,2018,,,,,PACT,15,66.74%,,,26.67,0," $2,210,773 "," $147,385 ",37%," $6,612,494 "," $440,833 ",110%,,,,,
GLEBE AVENUE-WESTCHESTER AVENUE,2021,,,,,PACT,132,39.69%,166.4,6.3,0.00,0," $20,628,585 "," $156,277 ",39%," $32,582,528 "," $246,837 ",62%,,,,,
GLENWOOD,2028,,YES,,,PACT,"1,188",18.86%,84.7,69.0,13.23,623," $261,092,343 "," $219,775 ",55%," $350,162,469 "," $294,750 ",74%,,,,,
GRAMPION,2019,,,,,PACT,35,69.99%,271.4,48.6,11.76,0," $7,705,192 "," $220,148 ",55%," $10,187,026 "," $291,058 ",73%,,,,,
HARLEM RIVER,2020,,YES,,,PACT,577,32.22%,202.4,50.5,16.16,227," $72,443,919 "," $125,553 ",31%," $120,865,209 "," $209,472 ",52%,,,,,
HARLEM RIVER II,2020,,YES,,,PACT,116,25.27%,161.6,39.3,11.30,102," $29,954,806 "," $258,231 ",65%," $34,230,024 "," $295,086 ",74%,,,,,
HIGHBRIDGE REHABS (ANDERSON AVENUE),2018,,,,,PACT,135,74.19%,,,15.56,0," $25,168,954 "," $186,437 ",47%," $40,778,710 "," $302,065 ",76%,,,,,
HIGHBRIDGE REHABS (NELSON AVENUE),2018,,,,,PACT,80,50.25%,,,12.50,0," $15,129,835 "," $189,123 ",47%," $27,926,071 "," $349,076 ",87%,,,,,
HOPE GARDENS,2019,,,,,PACT,324,20.25%,300.9,102.5,8.28,0," $65,598,626 "," $202,465 ",51%," $96,090,551 "," $296,576 ",74%,,,,,
HOWARD AVENUE,2025,,,,,PACT,150,38.05%,85.6,128.8,17.69,0," $18,146,985 "," $120,980 ",30%," $43,255,713 "," $288,371 ",72%,,,,,
HOWARD AVENUE-PARK PLACE,2025,,,,,PACT,156,27.83%,397.4,101.9,14.84,0," $37,236,880 "," $238,698 ",60%," $58,184,827 "," $372,980 ",93%,,,,,
INDEPENDENCE,2019,,YES,,,PACT,744,19.26%,207.7,58.5,15.35,545," $118,817,722 "," $159,701 ",40%," $180,764,176 "," $242,963 ",61%,,,,,
JEFFERSON,2026,,,,,PACT,"1,493",19.78%,229.3,72.2,8.72,0," $267,329,765 "," $179,055 ",45%," $419,650,017 "," $281,078 ",70%,,,,,
JOHNSON,2028,,YES,,,PACT,"1,310",18.89%,207.9,65.8,11.45,"1,014"," $205,694,514 "," $157,019 ",39%," $334,801,333 "," $255,574 ",64%,,,,,
LENOX ROAD-ROCKAWAY PARKWAY,2021,,,,,PACT,74,78.30%,304.2,100.0,13.51,0," $14,503,359 "," $195,991 ",49%," $32,240,798 "," $435,686 ",109%,,,,,
LEXINGTON,2023,,YES,,,PACT,448,23.25%,154.4,64.2,6.73,322," $89,157,550 "," $199,012 ",50%," $118,347,312 "," $264,168 ",66%,,,,,
LINDEN,2020,,,,,PACT,"1,586",13.06%,163.9,91.7,13.83,0," $353,434,064 "," $222,846 ",56%," $406,531,252 "," $256,325 ",64%,,,,,
LONG ISLAND BAPTIST HOUSES,2026,,YES,,,PACT,232,47.90%,297.8,47.8,15.42,128," $56,888,896 "," $245,211 ",61%," $67,687,091 "," $291,755 ",73%,,,,,
LOWER EAST SIDE II,2026,,,,,PACT,188,35.69%,242.8,99.5,9.78,0," $38,826,645 "," $206,525 ",52%," $48,586,348 "," $258,438 ",65%,,,,,
LOWER EAST SIDE REHAB (GROUP 5),2026,,,,,PACT,55,57.49%,152.7,47.3,7.27,0," $11,241,237 "," $204,386 ",51%," $34,236,701 "," $622,485 ",156%,,,,,
MANHATTANVILLE,2028,,YES,,,PACT,"1,272",15.56%,222.2,78.6,12.43,943," $222,093,399 "," $174,602 ",44%," $281,108,482 "," $220,997 ",55%,,,,,
MANHATTANVILLE REHAB (GROUP 2),2019,,YES,,,PACT,46,68.39%,191.1,57.8,8.70,31," $9,088,147 "," $197,568 ",49%," $16,916,357 "," $367,747 ",92%,,,,,
MANHATTANVILLE REHAB (GROUP 3),2019,,,,,PACT,51,70.99%,170.8,50.0,14.00,0," $12,946,286 "," $253,849 ",63%," $19,435,024 "," $381,079 ",95%,,,,,
MARCY,2027,,,,,PACT,"1,717",19.36%,144.1,63.5,11.57,0," $433,215,672 "," $252,310 ",63%," $544,414,647 "," $317,073 ",79%,,,,,
MARCY AVENUE-GREENE AVENUE SITE A,2019,,,,,PACT,48,32.00%,35.4,4.2,16.67,0," $6,078,572 "," $126,637 ",32%," $14,992,889 "," $312,352 ",78%,,,,,
MARCY AVENUE-GREENE AVENUE SITE B,2019,,,,,PACT,30,27.30%,33.3,0.0,16.67,0," $4,185,858 "," $139,529 ",35%," $7,634,852 "," $254,495 ",64%,,,,,
MARINER'S HARBOR,2028,,YES,,,PACT,607,13.18%,112.4,52.3,19.77,251," $132,007,972 "," $217,476 ",54%," $220,301,458 "," $362,935 ",91%,,,,,
MARSHALL PLAZA,2020,,,,,PACT,180,51.56%,303.5,15.6,0.00,0," $19,425,427 "," $107,919 ",27%," $36,786,090 "," $204,367 ",51%,,,,,
MELROSE,2023,,,,,PACT,"1,023",12.71%,243.4,85.9,13.44,0," $228,321,454 "," $223,188 ",56%," $264,692,146 "," $258,741 ",65%,,,,,
MIDDLETOWN PLAZA,2026,,,,,PACT,179,20.43%,90.3,16.6,0.00,0," $21,181,716 "," $118,334 ",30%," $36,338,471 "," $203,008 ",51%,,,,,
MURPHY,2018,,,,,PACT,281,17.62%,,,13.09,0," $38,391,785 "," $136,626 ",34%," $71,458,491 "," $254,301 ",64%,,,,,
NOSTRAND,2028,,YES,,,PACT,"1,148",17.10%,106.6,79.7,12.81,725," $266,247,734 "," $231,923 ",58%," $330,566,549 "," $287,950 ",72%,,,,,
OCEAN HILL-BROWNSVILLE,2025,,,,,PACT,125,32.29%,317.1,87.8,21.77,0," $18,746,774 "," $149,974 ",37%," $38,286,268 "," $306,290 ",77%,,,,,
